id,公司中文简称,行业名称,信用得分,信用等级,公司中文全称,公司英文全称,上市公司经营性质编码,公司成立日期,成立年限,法人代表,注册资本,注册资本货币编码,公司办公地址,主营业务,公司经营范围,existing,recommended,invite
836568,亿商联动,信息传输、软件和信息技术服务业,583,中,北京亿商联动国际电子商务股份有限公司,Ebrun inc.,私营企业,8/5/2007,12,郑敏,11233312,CNY,"北京市石景山区鲁谷路74号瑞达大厦17层M1709,M1711",新媒体营销、电子商务信息及咨询服务,销售电子产品、计算机、软件及辅助设备;组织文化艺术交流活动;承办展览展示;会议服务;技术开发、技术服务、技术咨询、技术转让;经济信息咨询;设计、制作、代理、发布广告;互联网信息服务,,,
836576,天戏互娱,信息传输、软件和信息技术服务业,607,较高,上海天戏互娱科技股份有限公司,Shanghai TCI entertainment technology Corp.,私营企业,10/10/2006,13,吴笑宇,12500000,CNY,上海市浦东新区张江镇殷家浜路1105号5幢108-D室,网络游戏的代理与运营服务。,"网络技术的开发、设计,计算机软硬件的开发、设计、销售,电脑图文设计,企业形象策划,展览展示服务。【依法须经批准的项目,经相关部门批准后方可开展经营活动】",,,
836579,蓝天股份,科学研究和技术服务业,651,较高,广西蓝天科技股份有限公司,null,私营企业,26/3/2009,10,李安妮,26795000,CNY,广西壮族自治区桂林市象山区环城西二路5号,"建筑工程设计,规划工程设计,园林工程设计,市政道路工程设计,工程总承包。","工程勘察设计;工业产品设计;规划工程设计;新材料技术研发、推广服务;节能技术研发、推广服务;环境保护专用设备研发、制造;建筑工程、公路工程、市政轨道交通工程设计、施工(以上项目如涉及资质证则凭资质证经营);污水处理及其再生利用技术服务;计算机信息技术开发;信息化规划服务;信息技术管理咨询服务;信息系统设计服务;图文设计制作;市政行业(道路工程)、风景园林工程设计专项工程总承包业务以及项目管理和相关的技术与管理服务;建筑装饰工程、建筑幕墙工程、轻型钢结构工程、建筑智能化系统、照明工程和消防设施工程设计、总承包以及项目管理和相关的技术与管理服务;旅游规划。(依法须经批准的项目,经相关部门批准后方可开展经营活动。)",,,
836584,六智信息,信息传输、软件和信息技术服务业,778,高,北京六智信息技术股份有限公司,"Beijing LiuZhi Information Technology Corp.,Ltd.",私营企业,12/10/2006,13,史小六,8000000,CNY,北京市海淀区信息路甲28号7层D座07A,运营360doc个人图书馆网站(www.360doc.com)。,"互联网信息服务业务(除新闻、出版、教育、医疗保健、药品、医疗器械以外的内容);利用互联网经营音乐娱乐产品、动漫(画)产品;技术服务、技术开发、技术推广;数据处理;应用软件服务;设计、制作、代理、发布广告。(依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动。)",,,
836585,中天园林,建筑业,691,较高,河南中天园林股份有限公司,"HENAN ZHONGTIAN LANDSCAPE ARCHITECTURE CO.,LTD",私营企业,15/8/2008,11,楚杰,50000000,CNY,河南省郑州市郑东新区商务外环路5号24层2405号,房地产项目园林工程施工。,"道路的设计与施工、园林绿化综合工程与假山水景的设计与施工;绿化养护管理及技术咨询服务;市政工程、建筑装饰装修工程、钢结构工程;花卉、苗木的销售与租赁;环保工程施工、古建筑工程施工、城市及道路照明工程施工、路桥工程施工、土石方工程施工;建筑劳务分包;林业工程施工、造林工程施工;林木育苗;育林;生态环境治理;土壤修复;水处理工程施工、河道治理工程施工;风景园林工程设计(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,,
836589,德利得,交通运输、仓储和邮政业,583,中,天津德利得供应链管理股份有限公司,"TIANJIN THE LEADER SUPPLY CHAIN MANAGEMENT CO,LTD",私营企业,25/9/2012,7,李志明,50000000,CNY,天津市自贸区(东疆保税港区)兰州道565号(海泽物流园5号仓库办公区5101室),"提供专业第三方物流服务,业务范围是包括仓储、普通货物运输、大件货物运输、危险化学品运输在内的一体化供应链物流服务。","供应链管理服务;货物包装;仓储(危化品除外、港区内除外);国内、国际货运代理(海、陆、空运);计算机应用软件开发及技术服务;自有房屋租赁;房屋信息咨询服务;普通货运、货物专用运输(集装箱)、大型物件运输(三类)、危险货物运输(2类、3类、4类、5类、6类、8类、9类)(剧毒化学品除外);五金交电、针纺织品、日用百货、服装、鞋帽、建筑材料、金属材料、机械设备、汽车配件、文化用品、化工原料、工艺品、煤炭、焦炭批发兼零售;汽车租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
836591,东联旅游,租赁和商务服务业,695,较高,内蒙古东联旅游管理集团股份有限公司,"Inner Mongolia Donglian Tourism Management Group Co.,Ltd.",私营企业,14/5/2010,9,侯程耀,36000000,CNY,内蒙古自治区鄂尔多斯市康巴什新区金信商务广场A2楼十层1002、1004、1006、1008、1102室,旅游管理服务、旅游商品销售、旅行社服务、策划服务以及网络工程服务业务。,"旅游管理;场地租赁;企业投资管理咨询;旅游资源建设开发管理;旅游纪念品研发、销售;网站建设;网站电子营销方案策划;市场营销;广告业务;娱乐设备租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,,
836592,友声科技,信息传输、软件和信息技术服务业,583,中,杭州友声科技股份有限公司,Hangzhou Uusense Technology Inc.,私营企业,26/10/2009,10,胡大强,21700000,CNY,浙江省杭州市西湖区文一西路98号数娱大厦602室,计算机网络、计算机软硬件、通信设备的技术开发、技术服务、技术咨询。,"服务:计算机网络、计算机软硬件、通信设备的技术开发、技术服务、技术咨询、成果转让,经济信息咨询(除证券、期货);批发、零售:计算机及配件,通信设备、电子产品(除专控);其他无需报经审批的一切合法项目。(依法须经批准的项目,经过相关部门批准后方可开展经营活动)",,,
836597,三尚传媒,文化、体育和娱乐业,651,较高,东阳三尚传媒股份有限公司,"Dongyang Sansang Media Co., Ltd.",私营企业,16/9/2008,11,李学东,45000000,CNY,浙江省金华市东阳市横店影视产业实验区C7-008-B,电视剧投资、制作及发行。,制作、复制、发行:专题、专栏、综艺、动画片、广播剧、电视剧;影视服装道具租货;影视器材租赁;影视文化信息咨询;企业形象策划;会展会务服务;摄影摄像服务;组织策划综艺文化活动;图文设计制作;制作、代理、发布户内外各类广告及影视广告;影视剧本创作、策划、交易;游戏产品开发设计、制作、交易;影视衍生产品开发设计、推广、网上和实体交易;微电影、网络剧的制作、发行;艺人经纪;网络数字技术服务、网络文化技术开发、转让、咨询、推广服务;影视后期制作科技领域技术开发;影视剧剪辑;影视后期制作技术培训和指导服务(非学历非证书类);影视投资及管理;影视商标代理和版权交易。,,,
836604,大象空间,建筑业,596,中,深圳市大象联合空间建设股份有限公司,"ShenZhen Daxiang United Space Construction Co.,Ltd.",私营企业,21/10/2010,9,贾峰,11770000,CNY,广东省深圳市南山区沙河街道华侨城创意文化园A2栋503,建筑装饰装修工程设计与施工。,"建筑装饰施工总承包、专业分包、劳务分包;装饰工程技术咨询、建筑装饰设计与咨询;幕墙工程、机电工程、金属门窗、园林绿化工程;销售装饰材料、装饰软装产品的设计、制作及销售;并提供各种公共建筑装饰工程设计施工综合解决方案;计算机软件开发、设计、制作,网络技术的开发、设计及相关的技术咨询、技术服务。(以上经营涉及行政许可或行政前置审批的,凭许可证经营)",,,
